"","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max."
"Extraversion.Active",1,3,4,3.80898876404494,5,6
"Extraversion.Energetic",1,3,4,3.76404494382022,5,6
"Extraversion.Excitable",1,3,4,3.75280898876404,5,6
"Extraversion.Hyperactive",1,2,3,2.71910112359551,3,6
"Extraversion.Lively",1,3,4,3.61797752808989,4,6
"Extraversion.Restless",1,2,3,3.06741573033708,4,6
"Motivation.Assertive",1,3,3,3.23595505617978,4,6
"Motivation.Determined",1,3,4,3.55056179775281,4,5
"Motivation.Independent",1,2,3,3.24719101123596,4,5
"Motivation.Persevering",1,3,3,3.40449438202247,4,5
"Motivation.Tenacious",1,3,3,3.2247191011236,4,6
"Training.Attentive",1,3,4,3.91011235955056,5,6
"Training.Biddable",2,3,4,3.85393258426966,5,6
"Training.Intelligent",2,4,5,4.49438202247191,5,6
"Training.Obedient",2,3,4,4.06741573033708,5,6
"Training.Reliable",2,3,4,3.79775280898876,5,6
"Training.Trainable",1,4,5,4.37078651685393,5,6
"Amicability.Easy.going",1,3,4,3.68539325842697,5,6
"Amicability.Friendly",1,4,5,4.93258426966292,6,6
"Amicability.Non.aggressive",1,5,6,5.1123595505618,6,6
"Amicability.Relaxed",1,3,4,3.65168539325843,5,6
"Amicability.Sociable",1,4,5,4.67415730337079,5,6
"Neuroticism.Fearful",1,2,2,2.37078651685393,3,6
"Neuroticism.Nervous",1,1,2,2.38202247191011,3,6
"Neuroticism.Submissive",1,2,2,2.61797752808989,3,5
"Neuroticism.Timid",1,2,2,2.50561797752809,3,6
"Sex",44,45,44,45,44,45
"Breed",3,37,49,3,37,49
"Outcome",71,18,71,18,71,18
